,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"Navigator.appCodeName","y",,,,,
,"Navigator.appName","y",,,,,
,"Navigator.appVersion","y",,,,,
,"Navigator.cookieEnabled","y",,,,,
,"Navigator.mimeTypes[]",,,"readonly",,,
,"Navigator.platform","y",,,,,
,"Navigator.plugins[]",,,"readonly",,,
,"Navigator.userAgent","y",,,,,
,"Navigator.javaEnabled()","y",,,,,
,,,,,,,
,"Node.attributes[]","y",,,,,
,"Node.childNodes[]","y",,,,,
,"Node.firstChild","y",,,,,
,"Node.lastChild","y",,,,,
,"Node.localName",,"y",,,,"no namespaces"
,"Node.namespaceURI",,"y",,,,
,"Node.nextSibling",,"y",,,,"gives reference to node outside the subtree"
,"Node.nodeName","y",,,,,"says it is readonly"
,"Node.nodeType","y",,,,,
,"Node.nodeValue",,,"sanitize when writing to safe text",,,
,"Node.ownerDocument",,"y",,,,"replaced with nodeCreator for node creation functions"
,"Node.parentNode",,"y",,,,
,"Node.prefix",,"y",,,,"no xml"
,"Node.previousSibling",,"y",,,,
,"Node.xml",,"y",,,,
,"Node.appendChild()","y",,,,,
,"Node.cloneNode()","y",,,,,"If opaque children are ever implemented, this will probably need to be modified with a wrapper that does not clone the opaque child."
,"Node.hasAttributes()","y",,,,,
,"Node.hasChildNodes()","y",,,,,
,"Node.insertBefore()","y",,,,,
,"Node.isSupported()",,,"validate feature name to Core, HTML, StyleSheets, CSS, CSS2, Events, UIEvents, MouseEvents, HTMLEvents, MutationEvents, Range, Traversal, Views. Validate version to 1.0, 2.0, null, """".",,,
,"Node.normalize()","y",,,,,
,"Node.removeChild()","y",,,,,
,"Node.replaceChild()","y",,,,,
,"Node.selectNodes()",,"y",,,,"no xpath"
,"Node.selectSingleNode()",,"y",,,,"no xpath"
,"Node.transformNode()",,"y",,,,"cannot allow xslt to manufacture things that do not conform to taming requirements"
,"Node.transformNodeToObject()",,"y",,,,
,"Node.nodeCreator",,,,"y",,"returns an object of type CajaNodeCreator as described below"
,"Node.seal()",,,,"y",,"returns a sealed version of this node, which can be unsealed using node.unseal(sealedNode)"
,"Node.unseal(sealedNode)",,,,"y",,"If the node receiving the unseal message is either the sealedNode or an ancestor of the sealed node (indicating that the recipient already has authority over the sealedNode), this returns the node that was sealed. Otherwise it returns null."
,"Node.createRange(startChild, endChild)",,,,"y",,"creates a Range from the start node to the end node. The start and end nodes must both be children of the node upon which this function was invoked."
,"Node.getElementById(id)",,,,"y",,"Searches the subtree for which this node is the root, looking for the id. If there is a single match, return it. If there are multiple matches, throw an exception."
,"Node.getElementsById(id)",,,,"y",,"Searches the subtree for which this node is the root, looking for the id. Returns an array of all the nodes with this id"
,,,,,,,
,,,,,,,
,,,,,,,
,"NodeList.length","y",,,,,
,"NodeList.item()","y",,,,,
,"NodeList.unseal(sealedNode)",,,,"y",,"If the node sealed in the sealedNode is in the subtree of any of the nodes of the nodeList, return the node."
,,,,,,,
,,,,,,,
,"Option.text",,,"sanitize to pure text",,,
,"Option.value",,,"sanitize to pure text",,,
,"Option.defaultSelected","y",,,,,
,"Option.selected","y",,,,,
,"Option.disabled","y",,,,,
,"Option.HTMLFormElement",,"y",,,,"gives access to form parent"
,"Option.index","y",,,,,
,"Option.label",,,"sanitize to pure text",,,
,,,,,,,
,"Plugin.description","y",,,,,
,"Plugin.filename","y",,,,,
,"Plugin.length","y",,,,,
,"Plugin.name","y",,,,,
,,,,,,,
,"ProcessingInstruction.*",,"y",,,,"no xml"
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"Range.collapsed","y",,,,,
,"Range.commonAncestorContainer",,"y",,,,"Could be used to acquire a parent that has not been explicitly authorized."
,"Range.endContainer","y",,,,,
,"Range.endOffset","y",,,,,
,"Range.startContainer","y",,,,,
,"Range.startOffset","y",,,,,
,"Range.cloneContents()","y",,,,,
,"Range.cloneRange()","y",,,,,
,"Range.collapse()","y",,,,,
,"Range.compareBoundaryPoints()","y",,,,,
,"Range.deleteContents()","y",,,,,
,"Range.detach()","y",,,,,
,"Range.extractContents()","y",,,,,
,"Range.insertNode()","y",,,,,
,"Range.selectNode()",,"y",,,,"Using selectNode sets the range to a node subtree. In caja, just pass the node instead"
,"Range.selectNodeContents()",,"y",,,,"Just pass the list of nodes instead"
,"Range.setEnd()",,"y",,,,"All the setEnd/setStart functions could be used to capture non-explicitly-authorized nodes that lie between two explicitly-granted nodes. This could be a shocking surprise to the grantors."
,"Range.setEndAfter()",,"y",,,,
,"Range.setEndBefore()",,"y",,,,
,"Range.setStart()",,"y",,,,
,"Range.setStartAfter()",,"y",,,,
,"Range.setStartBefore()",,"y",,,,
,"Range.surroundContents()",,"y",,,,"This modifies the parent of the range, because the parent no longer points directly at the previous children. Is this a breachable surprise? I have not yet identified a threat risk. I have shut it off, but am inclined to believe it could be turned on if needed."
,"Range.toString()","y",,,,,
,,,,,,,
,"RangeException.code","y",,,,,
,,,,,,,
,"Screen.availHeight",,,"readonly",,,
,"Screen.availWidth",,,"readonly",,,
,"Screen.colorDepth",,,"readonly",,,
,"Screen.height",,,"readonly",,,
,"Screen.width",,,"readonly",,,
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"Select.form",,"y",,,,"gives authority over the parent"
,"Select.length","y",,,,,
,"Select.options","y",,,,,
,"Select.selectedIndex","y",,,,,
,"Select.type","y",,,,,
,"Select.disabled","y",,,,,
,"Select.multiple","y",,,,,
,"Select.name","y",,,,,
,"Select.size","y",,,,,
,"Select.tabIndex",,,"readonly",,,"Can be used to surprise the user with form fillout sequencing. Truthfully, this is probably ok, but we have shut it off, see the setTabIndex method on the form for the proposed alternative. "
,"Select.add()","y",,,,,
,"Select.blur()","y",,,,,
,"Select.focus()",,"y",,,,
,"Select.remove()","y",,,,,
,"Select.onchange","y",,,,,
,,,,,,,
,"Table.caption","y",,,,,
,"Table.rows","y",,,,,
,"Table.tBodies","y",,,,,
,"Table.tFoot","y",,,,,
,"Table.tHead","y",,,,,
,"Table.align",,"y",,,,"deprecated in javascript"
,"Table.bgColor",,"y",,,,"deprecated in javascript"
,"Table.border","y",,,,,
,"Table.cellPadding","y",,,,,
,"Table.cellSpacing","y",,,,,
,"Table.frame","y",,,,,
,"Table.rules","y",,,,,
,"Table.summary","y",,,,,
,"Table.width","y",,,,,
,"Table.createCaption()","y",,,,,
,"Table.createTFoot()","y",,,,,
,"Table.createTHead()","y",,,,,
,"Table.deleteCaption()","y",,,,,
,"Table.deleteRow()","y",,,,,
,"Table.deleteTFoot()","y",,,,,
,"Table.deleteTHead()","y",,,,,
,"Table.insertRow()","y",,,,,
,,,,,,,
,,,,,,,
,"TableCell.abbr","y",,,,,
,"TableCell.align",,,"wrap for valid values, left, center, right, justify, single char",,,
,"TableCell.axis","y",,,,,
,"TableCell.bgColor",,"y",,,,"deprecated"
,"TableCell.ch","y",,,,,
,"TableCell.chOff","y",,,,,
,"TableCell.colSpan","y",,,,,
,"TableCell.headers",,"y",,,,"The interaction of the headers property with ids makes this a complicated property to analyze, with probably little benefit. Setting innerHTML should disallow writing a headers attribute."
,"TableCell.height",,"y",,,,"deprecated"
,"TableCell.noWrap",,"y",,,,"deprecated"
,"TableCell.rowSpan","y",,,,,
,"TableCell.scope","y",,"wrap for valid values: row, group, rowgroup, colgroup",,,
,"TableCell.vAlign",,,"wrap for valid values: top, middle, bottom, baseline",,,
,"TableCell.width",,"y",,,,"deprecated"
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"TableRow.cells","y",,,,,
,"TableRow.rowIndex","y",,,,,
,"TableRow.sectionRowIndex","y",,,,,
,"TableRow.align",,"y",,,,"deprecated"
,"TableRow.bgColor",,"y",,,,"deprecated"
,"TableRow.ch","y",,,,,
,"TableRow.chOff","y",,,,,
,"TableRow.vAlign",,,"valid values: top, middle, bottom, baseline",,,
,"TableRow.deleteCell()","y",,,,,
,"TableRow.insertCell()","y",,,,,
,,,,,,,
,"TableSection.rows","y",,,,,
,"TableSection.align",,"y",,,,"deprecated"
,"TableSection.ch","y",,,,,
,"TableSection.chOff","y",,,,,
,"TableSection.vAlign",,,"valid values: top, middle, bottom, baseline",,,
,"TableSection.deleteRow()","y",,,,,
,"TableSection.insertRow()","y",,,,,
,,,,,,,
,"Text.splitText()",,"y",,,,"by splitting the node, it implicitly adds another child node to the parent of the original node, i.e., modifying the parent to which the module may not have explicit authorization. This is a surprise, but is it a breachable surprise? No threat yet identified, but shut off until a need for this function has been identified and a deeper threat analysis has been performed."
,,,,,,,
,"Textarea.defaultValue","y",,,,,
,"Textarea.form",,"y",,,,
,"Textarea.type",,"y",,,,"unneeded, always defaults to only valid value ""textarea"""
,"Textarea.value","y",,,,,
,"Textarea.accessKey",,"y",,,,
,"Textarea.cols","y",,,,,
,"Textarea.disabled","y",,,,,
,"Textarea.name","y",,,,,
,"Textarea.readOnly","y",,,,,
,"Textarea.rows","y",,,,,
,"Textarea.tabIndex",,"y",,,,"see form.setTabIndex for replacement"
,"Textarea.blur()","y",,,,,
,"Textarea.focus()",,"y",,,,
,"Textarea.select()","y",,,,,
,"Textarea.onchange","y",,,,,
,,,,,,,
,"UIEvent.detail","y",,,,,
,"UIEvent.view",,"y",,,,
,"UIEvent.initUIEvent()",,"y",,,,"Synthetic event manufacture, if allowed, will have initialization as part of the construction process to prevent undeterminable behavior with uninitialized events."
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"Window",,,,,,"The Window is the kitchen sink of the client api. It has been divided into 3 components: The window object itself has been tamed so that the holder of a window object has powers appropriate to manipulating the window. This is very powerful even though tamed, so in general caja modules should not be given references to windows. Then there is a WindowPowers object, that embodies the powers above and beyond what a window holder should have as authority. Then there is SafeWindow, which contains the functions and properties that are not authority bearing and can be made ambiently available."
,"Window.closed","y",,,,,
,"Window.defaultStatus",,"y",,,,
,"Window.document","y",,,,,
,"Window.event",,"y",,,,"would be problematic if one were to attempt to implement opaque children; seems unneeded"
,"Window.frames[]","y",,,,,
,"Window.history","y",,,,,
,"Window.innerHeight","y",,,,,
,"Window.innerWidth","y",,,,,
,"Window.location",,"y",,,,
,"Window.name",,"y",,,,"This name is used as a target, which enables spoofing. Problems similar to the problem with id. Can we just not use it?"
,"Window.navigator","y",,,,,"also in SafeWindow."
,"Window.opener",,"y",,,,
,"Window.outerHeight","y",,,,,
,"Window.outerWidth","y",,,,,
,"Window.pageXOffset","y",,,,,
,"Window.pageYOffset","y",,,,,
,"Window.parent",,"y",,,,
,"Window.screen",,"y",,,,"moved to SafeWindow"
,"Window.screenLeft","y",,,,,
,"Window.screenTop","y",,,,,
,"Window.screenX","y",,,,,
,"Window.screenY","y",,,,,
,"Window.self",,"y",,,,
,"Window.status",,"y",,,,"a wrapped version maker is made available for powerbox authors to confer status setting powers to none-window-folk."
,"Window.top",,"y",,,,"a parent reference"
,"Window.window",,"y",,,,
,"Window.addEventListener()","y",,,,,
,"Window.alert()",,"y",,,,"see powerbox.makeAlerter. Simply having a reference to a window, powerful as that is, is not a reason to enable arbitrary alertbox manufacture that could spoof representation from other windows."
,"Window.attachEvent()","y",,,,,
,"Window.blur()","y",,,,,
,"Window.clearInterval()",,"y","must accept opaque object, not number",,,"also in SafeWindow"
,"Window.clearTimeout()",,"y","must accept opaque object, not number",,,"also in SafeWindow"
,"Window.close()",,"y",,,,"can blow away entire doc if someone subsequently does a writeln"
,"Window.confirm()",,"y",,,,"see powerbox.makeConfirmer()"
,"Window.detachEvent()","y",,,,,
,"Window.focus()",,"y",,,,
,"Window.getComputedStyle()","y",,,,,
,"Window.moveBy()",,"y",,,,"see WindowPowers"
,"Window.moveTo()",,"y",,,,"see WindowPowers"
,"Window.open()",,"y",,,,"see WindowPowers"
,"Window.print()",,"y",,,,
,"Window.prompt()",,"y",,,,"see powerbox.makePrompt()"
,"Window.removeEventListener()","y",,,,,
,"Window.resizeBy()",,"y",,,,"see WindowPowers"
,"Window.resizeTo()",,"y",,,,"see WindowPowers"
,"Window.scrollBy()","y",,,,,
,"Window.scrollTo()","y",,,,,
,"Window.setInterval()","y",,"disallow submitting strings as arguments. Must return an opaque object, not a number, for clearing",,,"also in SafeWindow"
,"Window.setTimeout()","y",,"disallow submitting strings as arguments. Must return an opaque object, not a number, for clearing",,,"also in SafeWindow"
,"Window.onblur","y",,,,,
,"Window.onerror","y",,,,,
,"Window.onfocus","y",,,,,
,"Window.onload","y",,,,,
,"Window.onresize","y",,,,,
,"Window.onunload","y",,,,,
,,,,,,,
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"WindowPowers.location(window)",,,,"y","y","Given a window, allows one to read and set the url for that window"
,"WindowPowers.moveTo(window, x, y)",,,,"y","y",
,"WindowPowers.moveBy(window, x, y)",,,,"y","y",
,"WindowPowers.open(url, replace)",,,,"y","y","The power to open a new window. Note that the argument list for this is different from the arg list for the untamed window.open. Both the untamed name and features arguments can be used to engage in spoofing and are not included in this safer version."
,"WindowPowers.resizeBy(window, x, y)",,,,"y","y",
,"WindowPowers.resizeTo(window, x, y)",,,,"y","y",
,"WindowPowers.print(window)",,,,"y","y",
,,,,,,,
,,,,,,,
,,,,,,,
,"SafeWindow",,,,,,"These are the functions found in Window that can be allowed to be ambiently available"
,"SafeWindow.navigator",,,,"y",,"gives access to the navigator information"
,"SafeWindow.screen",,,,"y",,"gives access to the screen information"
,"SafeWindow.clearInterval()",,,"must receive an opaque interval object, not a number","y",,
,"SafeWindow.clearTimeout()",,,"must receive an opaque timeout object, not a number","y",,
,"SafeWindow.setInterval()",,,"disallow submitting strings as arguments. Must return an opaque object for clearInterval.","y",,
,"SafeWindow.setTimeout()",,,"disallow submitting strings as arguments. Must return an opaque object for clearTimeout.","y",,
,,,,,,,
,,,,,,,
,,,,,,,
,"XMLHttpRequest.readyState","y",,,,,
,"XMLHttpRequest.responseText","y",,,,,
,"XMLHttpRequest.responseXML","y",,,,,
,"XMLHttpRequest.status","y",,,,,
,"XMLHttpRequest.statusText","y",,,,,
,"XMLHttpRequest.abort()","y",,,,,
,"XMLHttpRequest.getAllResponseHeaders()","y",,,,,
,"XMLHttpRequest.getResponseHeader()","y",,,,,
,"XMLHttpRequest.open()",,"y",,,,"see powerbox.makeSendReceiverMaker"
,"XMLHttpRequest.send()","y",,,,,
,"XMLHttpRequest.setRequestHeader()","y",,,,,
,"XMLHttpRequest.onreadystatechange","y",,,,,
,,,,,,,
,"XMLSerializer.serializeToString()","y",,,,,
,,,,,,,
,"XPathExpression.evaluate()",,"y",,,,"hard to analyze, unneeded for html"
,,,,,,,
,"XPathResult.*",,"y",,,,"unneeded for html"
,,,,,,,
,,,,,,,
,"XSLTProcesser.*",,"y",,,,"cannot allow xslt to start making transformations, will break the taming rules"
,,,,,,,
,"*.for",,,"transform into an onclick handler that does a getelementsById on the root node of the document and, if there is only one node with the id specified in the ""for"" attribute, will issue a click to that node",,,"This behavior for the ""for"" attribute is for all objects that implement ""for"" attribute behavior."
,,,,,,,
,"powerbox.makeEventDispatcher",,,,"y","y","To be used by the powerbox to create limited authorities to issue synthetic events. Needs algorithmic detail if this is needed; do we really need to support synthetic events?. Recommendation: no synthetic events in caja v1; do not implement makeEventDispatcher"
,"powerbox.makeFocusManager",,,,"y","y","to be used by the powerbox to create limited authorities to move the focus. Until we figure out something reasonable, here is what a focusManager does: with the method focus(node), if the node is an anchor or an input field or a textarea or a link or a select or a window, the focus manager calls the node's focus() method. If the node is not one of these, the focusManager calls the HTMLElement.scrollIntoView. The inability for a powerbox to determine when it might be reasonable to grant this authority is a serious problem. One example of a circumstance is, consider granting focus power to a module that has been granted the authority ot make a form, because validating/correcting a form is a behavior for which focus is powerful for building more user-friendly applications. The downside of this is, if there are 2 forms owned by 2 modules, this will enable stealing. An alternative strategy is for caja to attach onfocus() and onblur() handlers to everything, keep track of what if anything has such a focus, and use that to indicate that one already has the focus and should be allowed to transfer. Can there be multiple onfocus handlers? The attack would be to suppress the onblur handler so it appears that he never lost focus. Current answer: hand off the problem to the powerbox author using the makeFocusManager"
,"powerbox.makeAnchorMaker(labelPrefix)",,,,"y","y","given a label prefix, this produces an object that will make anchors using the prefix as a namespace. This output object, when given an anchor node, will set the name attribute. In typical usage, the labelprefix would be the powerbox's best effort to name, in a user-understandable way the module to which the anchor maker is being conveyed. In an ideal world, this name would be the user's petname for the object, but that will not always be possible in the caja context. Using randomly generated names is of limited utility, because a major use of anchors is to allow people to put persistent bookmarks in their browsers, so one wants to create anchor names to be the same each time the page is built."
,"powerbox.makeTransmitterMaker(domain or url)",,,,"y","y","Given a domain, the makeDomainTransmitterMaker makes a DomainTransmitterMaker that can manufacture nodes capable of transmitting to that domain, specifically links and forms. Given a domain transmitter, the caja object can set all the properties for a new node; the src field must lie within the domain specified during construction of the accessor. The method replace(node) will replace the specified node with the constructed node. For manufacturing nodes that can both send and receive, see powerbox.makeSendReceiverMaker. Use trademarking to allow writing allowed links and forms out via setInnerHTML. Domain names are strictly not enlargeable, i.e., if a TransmitterMaker is made for abc.xyz.com, it cannot be modified to send to xyz.com or def.xyz.com"
,"powerbox.makeAlerter(labelPrefix)",,,,"y","y","used by the powerbox author to manufacture objects to be conferred to modules that allow the module to pop an alert. The labelPrefix is always put at the beginning of the prompt; the powerbox should assign a label as capable as the powerbox can ascertain, for informing the user which module created this prompt (in an ideal world, the label would be a petname, but that will not always be possible in the caja context). This should not just be a simple wrapper around alert(), to avoid the possibly breachable confusion that alert() creates with blocking some, but not all, events"
,"powerbox.makeConfirmer(labelPrefix)",,,,"y","y","used by the powerbox author to manufacture objects to be conferred to modules that allow the module to pop a confirmation. The labelPrefix is always put at the beginning of the confirmation; the powerbox should assign a label as capable as the powerbox can ascertain, for informing the user which module created this confirmation (in an ideal world, the label would be a petname, but that will not always be possible in the caja context).  This should not just be a simple wrapper around confirm(), to avoid the possibly breachable confusion that confirm() creates with blocking some, but not all, events"
,"powerbox.makePrompter(labelPrefix)",,,,"y","y","used by the powerbox author to manufacture objects to be conferred to modules that allow the module to pop a prompt. The labelPrefix is always put at the beginning of the prompt; the powerbox should assign a label as capable as the powerbox can ascertain, for informing the user which module created this prompt (in an ideal world, the label would be a petname, but that will not always be possible in the caja context).  This should not just be a simple wrapper around prompt(), to avoid the possibly breachable confusion that prompt() creates with blocking some, but not all, events"
,"powerbox.makeSendReceiverMaker(domain name or url)",,,,"y","y","the SendReceiverMaker will manufacture, for the specified domain, those nodes that have full send/receive authority. Objects that can do such 2-way communication, and are therefore constructed using the SendReceiverMaker, include xmlHttpRequest and images.  The SendReceiverMaker function , when making an XMLHttpRequest, receives as arguments String method, String url-validated-to-domain, boolean async, String username, String password, and returns an XMLHttpRequest object for which the open() method has been called using the arguments sent to the creator. A makeSendReceiver also has a get a getDomainTransmitter function that will return a domain transmitter for the same domain, so one can directly make links and forms for the domain if one already has full send/receive authority on that domain. This also allows the receiving module to trivially delegate the attenuated DomainTransmitter authority to other modules. Use trademarking to enable use with setInnerHTML. Domain names are strictly not enlargeable, i.e., if a SendReceiveMaker is made for abc.xyz.com, it cannot be modified to send to xyz.com or def.xyz.com"
,"powerbox.makeIFrameMaker(domain name or url)",,,,,,"Iframes, lke Send ReceiverMakers, have the authority to both send and receive information. Iframes are sufficiently different in the authorities they represent,  the manufacture of iframes has been made distinct from the more general sendReceiverMaker. Domain names are strictly not enlargeable, i.e., if a IFrameMaker is made for abc.xyz.com, it cannot be modified to send to xyz.com or def.xyz.com"
,,,,,,,
,"CajaNodeCreator",,,"when creating a node, creates classes and ids as described in the appendix. By using this node creator, one gets classes that are rooted in the node's ownerDocument, while if one creates a node with innerHTML, one gets a node rooted in one's own css namespace",,,"This is the type of the object that is returned by the new method on Node that replaces the ownerdocument property. Supports methods   createElement, createTextNode"
,,,,,,,
,"util.makeDoubleDiv(layoutConstraint)",,,,"y",,"A problem with sharing a window is preventing real estate wars, i.e., multiple modules all attempting to claim 100% of the window area. makeDoubleDiv is an ambient power to manufacture an inner/outer div node pair, for which the outer div controls the size of the area into which the holder of the inner div may draw. The outer div has clipping turned on; the layoutConstraint is a specification of the shape/size of the area. This function returns a pair of nodes, the outer control node held by the owner of a section of window real estate, and the inner node to be delegated to a  module so it has authority over a smaller portion of that real estate. We expect the algorithm for this to become more complex to deal with edge cases in different browsers: for example, some widgets in IE can escape from div-based containment when using a fast but erroneous layout algorithm. Modifications may be needed to the makeDoubleDiv algorithm to force the widgets to use a slower, but more correct algorithm."
,"util.attenuateTransmitter(sendReceiverMaker, subdomain or url)",,,,"y",,"Given a TransmitterMaker and a subdomain or url within the bounds of the authority of that TransmitterMaker, this returns an attenuated TransmitterMaker"
,"util.attenuateSendReceiver(sendReceiverMaker, subdomain or url)",,,,"y",,"Given a sendReceiverMaker and a subdomain or url within the bounds of the authority of that sedReceiverMaker, this returns an attenuated sendReceiverMaker"
,"util.attenuateIFrameMaker(IFrameMaker, subdomain or url)",,,,"y",,"Given a IFrameMaker and a subdomain or url within the bounds of the authority of that IFrameMaker this returns an attenuated IFrameMaker."
,"util.readOnly(node)",,,,"y",,"Makes a readOnly authority on the node and its subtree. This function not only supplies useful functionality, it supplies a demonstration of how to write arbitrary intermediaries, such as logging forwarders."
,"util.revocable(node)",,,,"y",,"Returns a revoker/node pair that represents a revocable node: if the returned node is granted to another module, the authority it conveys is revoked when the revoke() function is called."
